datetime,dpos
2018-04-04 05:31:23,50.0
2018-04-04 06:13:27,115.0
2018-04-04 06:18:27,179.0
2018-04-04 06:24:28,255.0
2018-04-04 06:37:29,179.0
2018-04-04 10:00:48,115.0
2018-04-04 10:14:49,179.0
2018-04-04 12:43:01,115.0
2018-04-04 12:50:02,179.0
2018-04-04 14:03:08,115.0
2018-04-04 14:29:10,50.0
2018-04-04 15:30:15,0.0
2018-04-04 16:30:19,50.0
2018-04-04 18:03:26,0.0
2018-04-05 05:27:14,50.0
2018-04-05 06:23:18,115.0
2018-04-05 07:37:24,179.0
2018-04-05 08:48:29,115.0
2018-04-05 10:16:36,179.0
2018-04-05 12:50:47,115.0
2018-04-05 14:21:54,50.0
2018-04-05 16:35:04,0.0
2018-04-06 03:57:55,50.0
2018-04-06 04:52:59,0.0
2018-04-06 05:33:03,50.0
2018-04-06 06:29:07,115.0
2018-04-06 06:42:08,179.0
2018-04-06 09:05:19,115.0
2018-04-06 09:25:20,179.0
2018-04-06 11:14:28,115.0
2018-04-06 13:06:36,50.0
2018-04-06 15:11:45,0.0
2018-04-07 04:10:41,50.0
2018-04-07 04:42:44,0.0
2018-04-07 09:02:06,50.0
2018-04-07 09:21:08,115.0
2018-04-07 09:27:08,179.0
2018-04-07 09:33:09,255.0
2018-04-07 10:42:14,179.0
2018-04-07 11:08:16,115.0
2018-04-07 14:00:28,179.0
2018-04-07 14:16:30,115.0
2018-04-07 14:35:31,50.0
2018-04-07 14:41:31,0.0
2018-04-08 09:35:52,50.0
2018-04-08 17:15:28,0.0
2018-04-09 05:26:26,50.0
2018-04-09 06:04:29,0.0
2018-04-09 07:37:37,50.0
2018-04-09 08:06:40,115.0
2018-04-09 10:20:51,179.0
2018-04-09 13:51:09,115.0
2018-04-09 14:26:11,50.0
2018-04-09 14:52:14,0.0
2018-04-10 05:26:22,50.0
2018-04-10 06:15:25,115.0
2018-04-10 06:22:26,179.0
2018-04-10 06:39:27,255.0
2018-04-10 06:55:28,179.0
2018-04-10 07:45:32,255.0
2018-04-10 08:00:33,179.0
2018-04-10 10:07:43,115.0
2018-04-10 11:23:49,179.0
2018-04-10 12:12:52,115.0
2018-04-10 14:02:00,50.0
2018-04-10 14:15:01,0.0
2018-04-11 05:46:11,50.0
2018-04-11 06:14:12,115.0
2018-04-11 06:19:13,179.0
2018-04-11 13:44:49,115.0
2018-04-11 14:33:53,50.0
2018-04-11 16:32:04,0.0
2018-04-12 05:54:07,50.0
2018-04-12 06:19:09,115.0
2018-04-12 06:26:10,179.0
2018-04-12 07:12:13,115.0
2018-04-12 10:27:28,179.0
2018-04-12 12:48:38,115.0
2018-04-12 14:31:46,50.0
2018-04-12 16:19:54,0.0
2018-04-13 05:27:54,50.0
2018-04-13 07:07:01,115.0
2018-04-13 07:18:02,179.0
2018-04-13 08:01:06,115.0
2018-04-13 08:20:07,179.0
2018-04-13 10:27:17,115.0
2018-04-13 12:24:25,50.0
2018-04-13 13:34:30,0.0
